id	label	color	accent	shape	radius	height	aliases
blackmarble	Petrified bone / black marble	39484C	A6D1D7	shard	0.75	2.7	BlackMarble,giant_skull,giant_skull_frac,giant_ribs,giant_ribs_frac
grausten	Grausten	988F89	DFBBA3	shard	0.45	2.2	Grausten,Pickable_Ashstone
sulfur	Sulfur rock	DEE274	F9FFC0	shard	0.4	2.2	Sulfur,SulfurStone,Pickable_SulfurRock
tar	Tar	17181B	B2A2C4	round	0.45	2.2	Tar,Pickable_TarBig,tarlump1_frac
chest	Wild chest / treasure	EAC263	FFF0BA	star	0.55	2.7	Coins,AncientCoin
amber	Amber / amber pearl	EE9D35	FFE1A2	shard	0.3	1.9	Amber,AmberPearl
ruby	Ruby	E34463	FFB7CA	shard	0.3	2.0	Ruby
blackcore	Black core	652B92	DB93FF	hex	0.4	2.4	BlackCore,Pickable_BlackCoreStand
moltencore	Molten core	FF943C	FFF1A5	hex	0.4	2.4	MoltenCore,Pickable_MoltenCoreStand
frostcore	Frostcore	88DFF5	E1FDFF	hex	0.4	2.4	FrostCore,Pickable_FrostCoreHanger
royaljelly	Royal jelly	D294EB	F5CCFF	round	0.4	2.2	RoyalJelly
dragonegg	Dragon egg	B786DD	F5BDFF	hex	0.5	2.6	DragonEgg
voltureegg	Volture egg	DAB796	FCE9C8	round	0.4	2.1	VoltureEgg,ChickenEgg
fenris	Fenris hair / claws	A9BBD9	E7F3FF	leaf	0.4	2.3	WolfHair,WolfClaw,FenringHair,FenringClaw,Pickable_Hairstrands01,Pickable_Hairstrands02
bones	Skeletal remains	DCD6C2	FFF4DE	shard	0.4	2.1	BoneFragments,Pickable_ForestCryptRemains01,Pickable_ForestCryptRemains02,Pickable_ForestCryptRemains03,Pickable_ForestCryptRemains04,Pickable_MountainRemains01_buried
charredskull	Charred skull	625B53	EAAA67	shard	0.4	2.3	Charredskull,CharredSkull
glowworm	Luminous larva	AFEC81	EBFFB6	seed	0.38	2.2	GlowWorm,Pickable_GlowWorm
dyrnwyn	Dyrnwyn fragments	FFB06F	FFF0D2	shard	0.4	2.5	SwordDyrnwynFragment1,SwordDyrnwynFragment2,SwordDyrnwynFragment3,Pickable_Swordpiece1,Pickable_Swordpiece2,Pickable_Swordpiece3
resin	Resin	ECAF48	FFE8B3	round	0.3	1.8	Resin
seed	Tree seeds / ancient seed	B39C5C	DAEAAF	seed	0.3	1.9	Acorn,BeechSeeds,BirchSeeds,FirCone,PineCone,AncientSeed
meat	Meat pile	C77075	EFAFA0	leaf	0.4	2.0	RawMeat,DeerMeat,WolfMeat,HareMeat,Pickable_MeatPile
pottery	Pot shard	C88966	F1CAAB	shard	0.3	1.8	Pot_Shard,Pickable_Pot_Shard
fallback	Other collectible (item color in game)	8ECCB5	E4FCEB	star	0.4	2.2	
